NGI ID	User ID	RC	Kreads	>=Q30
P28657_1017	pool8_NP_BL6_d1_m1	NA	343.09	95.55
P28657_1018	pool8_NP_BL6_d1_m2	NA	322.44	95.63
P28657_1019	pool8_NP_BL6_d1_m3	NA	316.06	95.49
P28657_1020	pool12_NP_BL6_d1_m1	NA	209.02	95.79
P28657_1021	pool12_NP_BL6_d1_m2	NA	351.00	95.22
P28657_1022	pool12_NP_BL6_d1_m3	NA	370.95	95.38
P28657_1023	pool22_NP_BL6_d1_m1	NA	287.15	96.01
P28657_1024	pool22_NP_BL6_d1_m2	NA	242.46	95.98
P28657_1025	pool22_NP_BL6_d1_m3	NA	326.58	95.91
